Time,Greedy,INMA,No Charge
10,9.98964015999992,9.98840055999991,9.98940455999992
20,9.991262075214,9.97672111999982,9.97720511999982
30,9.98985781442805,9.96499727999973,9.96392607999972
40,9.98797923364209,9.95352223999964,9.95042063999962
50,9.98507201285613,9.94286479999956,9.93862559999953
60,9.98192905207017,9.93295375999947,9.92723495999944
70,9.97830893128421,9.92151871999939,9.91376511999934
80,9.97694325049825,9.9100168799993,9.90263647999925
90,9.9743546097123,9.8978398399992,9.89050823999916
100,9.97184454892634,9.88750679999912,9.87994399999907
110,9.97032312814038,9.87669815999903,9.86888655999899
120,9.96804596735442,9.86501431999894,9.8577047199989
130,9.96498016656846,9.85445007999886,9.84625647999881
140,9.9625101057825,9.84409023999878,9.83494583999872
150,9.95928856499654,9.83262399999869,9.82327079999863
160,9.95721140421059,9.8215177599986,9.81219095999854
170,9.95382986342462,9.81179311999852,9.80026711999845
180,9.95064690263866,9.79957607999843,9.78936967999837
190,9.9471867818527,9.78785223999834,9.77767703999828
200,9.94372666106674,9.77631479999825,9.76542439999818
210,9.94034654028077,9.76499975999816,9.75316295999809
220,9.93909943949482,9.75414231999807,9.74326071999801
230,9.93702369870886,9.74329367999798,9.73249647999792
240,9.9339978979229,9.7324362399979,9.72022183999783
250,9.93105209713694,9.72242279999782,9.70949759999774
260,9.92850345635098,9.71124975999773,9.69611655999764
270,9.92575339556502,9.69982791999764,9.68596551999756
280,9.92399481477907,9.68885487999755,9.67386847999747
290,9.92116759399311,9.67685543999746,9.66175383999738
300,9.91849611320715,9.66426959999737,9.65127839999729
310,9.91622179242119,9.65366095999728,9.64149175999721
320,9.91434321163523,9.64268791999719,9.62898591999712
330,9.91258037084928,9.63283447999711,9.61892367999704
340,9.91042747006332,9.62218143999703,9.60770183999695
350,9.90744166927736,9.60963119999693,9.59706639999686
360,9.9052087684914,9.59940895999685,9.58598215999677
370,9.90313302770545,9.58693871999676,9.57356511999668
380,9.89995006691949,9.57417527999666,9.56147687999659
390,9.89732142613353,9.56178503999657,9.5510102399965
400,9.89532568534757,9.55009679999647,9.53873999999641
410,9.89301136456161,9.53874175999639,9.52747815999632
420,9.89046130377565,9.52627151999629,9.51621191999623
