epoch,loss,val_loss
0,0.00027773330130410526,7.475249086150656e-05
1,9.551598606832176e-05,6.651945599373771e-05
2,0.00010428255944589035,5.4734753381094924e-05
3,0.00010545785434102985,0.00010442578910156787
4,0.00011431145131083478,0.00013148099361889848
5,0.00011099938470846074,0.0003627993752135533
6,0.00011162004209356609,0.00017737686761568915
7,9.650491122680836e-05,0.00011007813933183472
8,9.514211104781189e-05,0.00022081749536454043
9,8.746982200758674e-05,1.5400491898665885e-05
10,9.024045877714457e-05,0.0001344658666010659
11,9.468356820967095e-05,0.00010786096750779294
12,8.520743734353965e-05,3.426878571278731e-05
13,9.307964884106847e-05,3.082015580980838e-05
14,8.4571863808815e-05,0.00014517939634313876
15,8.639657147846426e-05,4.77445820095375e-05
16,9.242028640011849e-05,5.088599506442808e-05
17,9.176420164523612e-05,4.1461325352226316e-05
18,9.362528895217086e-05,0.0001291991323049016
19,9.578792361435425e-05,0.00013857277052408082
